Cadena,NDT,Tienda,Latitud,Longitud,Demanda/mes,Cluster
Chedraui,815,815 SUPER CHEDRAUI SELECTO ATIZAPAN 11-22,19.5562275,-99.2674713,6,0
La Comer,446,446 FRESKO SATELITE,19.5093508,-99.2327036,4,0
La Comer,76,76 FRESKO VALLARTA,19.504293,-99.2496315,4,0
La Comer,12,12 LA COMER VALLE DORADO,19.5514654,-99.2099467,4,0
La Comer,289,289 LA COMER TORRES SATELITE,19.4979284,-99.2380346,4,0
La Comer,375,375 LA COMER BOSQUE ESMERALDA,19.5488011,-99.2874025,4,0
La Comer,238,238 SUMESA SAN ÃNGEL,19.5595185,-99.2200806,4,0
La Comer,239,239 SUMESA ARBOLEDAS,19.5599264,-99.2198602,4,0
Nutrisa,12007,CIRC. CENTRO COMERCIAL # 2251 COL. CD. SATÉLITE CP. 53100 DEL. O MPIO. NAUCALPAN DE JUÁREZ,19.5000564,-99.2322722,1,0
Nutrisa,12028,AV. HIDALGO S/N # S/N COL. INDUSTRIAL TLAXCOLPAN CP. 54030 DEL. O MPIO. TLALNEPANTLA,19.5531212,-99.1938285,1,0
Nutrisa,12072,BLVD. ÁVILA CAMACHO # 1007 COL. SAN LUCAS TEPETLACALCO CP. 54055 DEL. O MPIO. TLANEPANTLA,19.526593,-99.2283868,1,0
Nutrisa,12093,CIRCUITO CENTRO COMERCIAL # 2251 COL. CIUDAD SATELITE CP. 53100 DEL. O MPIO. NAUCALPAN DE JUÁREZ,19.5103999,-99.2338814,1,0
Nutrisa,12103,AV. GUSTAVO BAZ # S/N COL. CENTRO INSUSTRIAL CP. 54030 DEL. O MPIO. TLANEPANTLA,19.5373142,-99.2080629,1,0
Nutrisa,12166,"AV. TLALNEPANTLA-TENAYUCA 25, MUNICIPIO DE TLALNEPANTLA DE BAZ, EDO. DE MEX, CP 54150",19.532159,-99.1727746,1,0
Nutrisa,12174,"CZDA. SAN MATEO NOPALA # 17, ATIZAPÁN DE ZARAGOZA, CIUDAD LÓPEZ MATEOS, ESTADO DE MÉXICO, CP 52900",19.4914293,-99.252126,1,0
Nutrisa,12240,BOULEVARD ADOLFO LÓPEZ MATEOS # 100 COL. FRACCIONAMIENTO LAS ALAMEDAS CP. 52970 DEL. O MPIO. ATIZAPÁN DE ZARAGOZA,19.5516036,-99.2418385,1,0
Nutrisa,12274,AV. LOMAS VERDES LOTE 21 # 1200 COL. LOMAS VERDES 5TA SECCION CP. 53126 DEL. O MPIO. NAUCALPAN DE JUÁREZ,19.50592,-99.25144,1,0
Nutrisa,12324,AV. RUÍZ CORTINES # 255 MZ 2 LT 1 COL. LAS MARGARITAS CP. 52977 DEL. O MPIO. ATIZAPÁN DE ZARAGOZA,19.5577699,-99.2504104,1,0
Nutrisa,12522,BLVD. ARTURO MONTIEL # KM 10.7 COL. AMPLIACIÓN VISTA HERMOSA CP. 54400 DEL. O MPIO. NICOLAS ROMERO,19.6040842,-99.2778752,1,0
Nutrisa,12556,CALLE COLINA DE LA PAZ # 25 COL. FRACCIONAMIENTO BOULEVARES CP. 53120 DEL. O MPIO. NAUCALPAN DE JUÁREZ,19.4958151,-99.2470253,1,0
Nutrisa,12578,BLVD. ÁVILA CAMACHO # 1007 COL. SAN LUCAS TEPETLACALCO CP. 54050 DEL. O MPIO. TLANEPANTLA,19.525216,-99.2267312,1,0
Nutrisa,13225,AV. EL ROSARIO # 1025 COL. EL ROSARIO CP. 2100 DEL. O MPIO. AZCAPOTZALCO,19.5035873,-99.2037662,1,0
Nutrisa,13810,"VÍA GUSTAVO BAZ, MARÍO COLÍN ESQ. CON SOR JUANA INES DE LA CRUZ # 280 COL. SAN LORENZO INDUSTRIAL CP. 54033 DEL. O MPIO. TLANEPANTLA",19.5387332,-99.2059271,1,0
Nutrisa,13813,"VÍA GUSTAVO BAZ, MARÍO COLÍN ESQ. CON SOR JUANA INES DE LA CRUZ # 280 COL. SAN LORENZO INDUSTRIAL CP. 54033 DEL. O MPIO. TLANEPANTLA",19.5387332,-99.2059271,1,0
Walmart Mexico,1032,1032 SC LOMAS VERDES,19.5104272,-99.2556931,6,0
Walmart Mexico,1489,1489 SC HIPERPLAZA TEXCOCO,19.5478959,-99.1941474,6,0
Walmart Mexico,1834,1834 SC PLAZA DEL LAGO,19.5478959,-99.1941474,6,0
Walmart Mexico,2643,2643 SC NICOLAS ROMERO,19.6040842,-99.2778752,6,0
Walmart Mexico,3503,3503 SC ECATEPEC CENTRO,19.5361899,-99.1876555,6,0
Walmart Mexico,383,383 SC PUERTA TLATELOLCO,19.5154067,-99.2311013,6,0
Walmart Mexico,3845,3845 SC UNIVERSIDAD,19.5154067,-99.2311013,6,0
Walmart Mexico,3847,3847 SC SATELITE,19.4848882,-99.2330075,6,0
Walmart Mexico,3814,3814 WE BARRILACO,19.5366021,-99.217129,6,0
Walmart Mexico,3821,3821 SP LINDAVISTA,19.5366021,-99.217129,6,0
Walmart Mexico,3824,3824 WE ORADORES,19.5227001,-99.2605428,6,0
Walmart Mexico,3832,3832 WE HOMERO,19.5514477,-99.2895226,6,0
Walmart Mexico,3838,3838 WE LOMAS VERDES,19.5070175,-99.2602396,6,0
Walmart Mexico,3842,3842 WE RIO CHURUBUSCO,19.5514477,-99.2895226,6,0
